stid,name,latitude,longitude,prid,value_type,mean_val,amplitude,ramp,total_variation,excess_tv,winter_floor,summer_ceiling,spring_30d_gain,spring_rise_days,autumn_30d_drop,autumn_fall_days,spring_ramp,spring_30d_gain_rel,autumn_ramp,autumn_30d_drop_rel,trough_day,peak_day,winter_floor_eff,autumn_rate,spring_rate,autumn_rate_abs,spring_rate_abs,eff_trough_day,livable
s47766,呉,34.24,132.55,67,sunshine_normal,5.673,0.4809,0.0373,13.6,6.733,4.68,5.947,3.32,12.0,2.633,85.0,0.1533,0.967,0.12,0.767,179,214,8.925,0.3136,0.2961,3.881,3.664,348,1
s47767,福山,34.446667,133.246667,67,sunshine_normal,5.68,0.4988,0.0353,12.867,6.2,4.62,6.202,3.047,78.0,1.7,79.0,0.1467,0.914,0.0733,0.51,17,213,8.753,0.2687,0.288,3.449,3.697,350,1
s47768,岡山,34.685,133.925,66,sunshine_normal,5.573,0.3744,0.03,10.96,5.733,4.916,5.548,2.54,11.0,2.36,112.0,0.1267,0.9719,0.0933,0.9031,179,215,9.255,0.2857,0.3344,3.057,3.578,351,1
s47769,姫路,34.838333,134.67,63,sunshine_normal,5.578,0.3856,0.0309,11.293,5.867,4.866,5.663,2.633,12.0,2.333,108.0,0.1267,0.9705,0.1,0.86,178,214,9.125,0.2622,0.3146,2.864,3.437,354,1
s47770,神戸,34.696667,135.211667,63,sunshine_normal,5.711,0.4856,0.0347,12.68,6.293,4.803,6.173,3.007,141.0,1.88,25.0,0.1467,0.9415,0.08,0.5887,18,215,9.041,0.2469,0.2888,3.111,3.639,353,1
s47772,大阪,34.681667,135.518333,62,sunshine_normal,5.61,0.4544,0.0324,11.84,5.96,4.777,5.969,2.713,13.0,2.127,25.0,0.1267,0.9229,0.0933,0.7234,176,216,8.994,0.2488,0.2981,2.959,3.546,353,1
s47776,洲本,34.31,134.848333,63,sunshine_normal,5.468,0.5869,0.0366,13.347,6.04,4.232,6.035,2.993,71.0,1.86,30.0,0.1333,0.8193,0.08,0.5091,352,213,8.081,0.2278,0.3378,3.043,4.514,353,1
s47777,和歌山,34.228333,135.163333,65,sunshine_normal,5.732,0.6034,0.0367,13.387,5.573,4.487,6.47,3.187,151.0,1.947,72.0,0.14,0.8157,0.0733,0.4983,350,214,8.565,0.2323,0.275,3.35,3.965,351,1
s47778,潮岬,33.45,135.756667,65,sunshine_normal,6.173,0.5138,0.0352,12.84,4.813,6.403,5.976,3.607,13.0,2.527,281.0,0.1667,0.8987,0.12,0.6296,174,217,12.425,0.1395,0.3016,1.459,3.154,174,1
s47780,奈良,34.673333,135.836667,64,sunshine_normal,5.035,0.518,0.0319,11.64,5.707,3.984,5.243,2.573,64.0,1.493,98.0,0.12,0.8674,0.0667,0.5034,16,218,7.5,0.2179,0.3579,2.442,4.011,11,1
s47784,山口,34.161667,131.461667,81,sunshine_normal,5.102,0.5901,0.0392,14.307,7.693,3.86,5.191,3.22,12.0,2.873,99.0,0.1467,0.9738,0.12,0.869,180,215,7.377,0.3109,0.2917,3.887,3.646,351,1
s47800,厳原,34.196667,129.291667,84,sunshine_normal,5.107,0.4953,0.0374,13.653,6.653,4.958,4.557,2.807,14.0,3.013,17.0,0.1533,0.8019,0.12,0.861,183,140,9.447,0.2924,0.2861,2.817,2.757,15,1
s47805,平戸,33.36,129.55,84,sunshine_normal,4.894,0.7089,0.0458,16.707,8.427,3.338,4.943,4.113,11.0,3.26,96.0,0.2067,0.9936,0.1267,0.7874,181,213,6.512,0.3828,0.324,4.884,4.134,13,1
s47807,福岡,33.581667,130.375,82,sunshine_normal,5.175,0.6341,0.0418,15.24,7.467,3.627,5.507,3.333,61.0,1.52,93.0,0.1733,0.8576,0.0667,0.3911,15,211,7.036,0.3576,0.3093,4.763,4.12,14,1
s47809,飯塚,33.651667,130.693333,82,sunshine_normal,5.013,0.6256,0.0411,15.013,7.733,3.614,5.194,3.273,62.0,1.46,98.0,0.16,0.8993,0.0667,0.4011,15,213,6.992,0.3461,0.3048,4.381,3.859,15,1
s47812,佐世保,33.158333,129.726667,84,sunshine_normal,5.269,0.6405,0.0424,15.493,7.307,3.861,5.258,4.013,11.0,3.167,90.0,0.1933,0.9805,0.14,0.7736,178,213,7.556,0.4125,0.3276,5.215,4.142,13,1
s47813,佐賀,33.265,130.305,85,sunshine_normal,5.399,0.4825,0.0371,13.547,6.267,4.391,5.237,3.54,12.0,2.9,132.0,0.1667,0.9725,0.1267,0.7967,178,213,8.567,0.4151,0.3366,4.579,3.713,12,1
s47814,日田,33.321667,130.928333,83,sunshine_normal,4.943,0.5621,0.0378,13.813,7.16,3.852,5.085,3.247,11.0,2.713,94.0,0.1533,0.976,0.1133,0.8156,177,212,7.512,0.362,0.3168,4.171,3.65,347,1
s47815,大分,33.235,131.618333,83,sunshine_normal,5.462,0.4257,0.0329,12.0,5.627,4.973,5.592,3.1,12.0,2.28,145.0,0.14,0.9728,0.0933,0.7155,176,211,9.7,0.2601,0.2874,2.757,3.046,347,1
s47817,長崎,32.733333,129.866667,84,sunshine_normal,5.103,0.7002,0.0419,15.28,7.0,3.608,5.411,4.047,11.0,2.84,95.0,0.1933,0.9775,0.1333,0.686,177,212,7.134,0.3611,0.302,4.81,4.023,12,1
s47818,雲仙岳,32.736667,130.261667,84,sunshine_normal,3.942,0.6522,0.0334,12.187,5.747,3.055,3.436,2.727,14.0,2.92,14.0,0.12,0.8468,0.12,0.9068,179,121,6.043,0.4104,0.3392,3.973,3.284,12,1
s47819,熊本,32.813333,130.706667,86,sunshine_normal,5.473,0.4797,0.0352,12.84,5.707,4.53,5.479,3.467,12.0,2.58,130.0,0.16,0.972,0.12,0.7234,176,212,8.926,0.3905,0.3109,4.36,3.471,13,1
s47822,延岡,32.581667,131.656667,87,sunshine_normal,5.776,0.383,0.0315,11.48,5.467,6.095,5.592,2.907,12.0,1.967,293.0,0.1333,0.9667,0.0867,0.6541,171,208,12.057,0.2988,0.2768,2.484,2.302,338,1
s47823,阿久根,32.026667,130.2,88,sunshine_normal,5.352,0.7415,0.0438,16.0,6.707,3.732,6.014,4.187,148.0,1.447,88.0,0.1933,0.901,0.0733,0.3113,14,211,7.491,0.332,0.2708,4.983,4.065,12,1
s47824,人吉,32.216667,130.755,86,sunshine_normal,4.962,0.5084,0.0345,12.587,6.013,4.139,5.06,3.187,12.0,2.487,89.0,0.1533,0.9696,0.1133,0.7566,175,211,8.286,0.4079,0.3095,4.379,3.323,344,1
s47827,鹿児島,31.555,130.546667,88,sunshine_normal,5.35,0.5647,0.0366,13.373,5.4,4.549,5.469,3.773,13.0,2.44,120.0,0.1733,0.9465,0.1067,0.612,172,211,9.216,0.3313,0.2729,3.758,3.095,12,1
s47829,都城,31.73,131.081667,87,sunshine_normal,5.308,0.4662,0.0319,11.64,5.133,5.479,5.009,3.067,12.0,2.28,285.0,0.1533,0.9426,0.1067,0.7008,171,210,11.045,0.356,0.2819,2.8,2.217,172,1
s47830,宮崎,31.938333,131.413333,87,sunshine_normal,5.815,0.4776,0.0344,12.547,5.44,6.226,5.818,3.333,13.0,2.067,284.0,0.1533,0.9381,0.1,0.5816,169,209,12.487,0.2373,0.2186,2.2,2.027,333,1
s47831,枕崎,31.271667,130.291667,88,sunshine_normal,5.247,0.7532,0.0422,15.387,6.16,3.837,5.899,4.38,12.0,2.353,90.0,0.2,0.9494,0.1133,0.5101,172,210,7.817,0.2844,0.2301,4.042,3.271,12,1
s47835,油津,31.578333,131.406667,87,sunshine_normal,5.349,0.5412,0.0332,12.107,4.76,5.502,5.525,3.507,12.0,2.027,281.0,0.16,0.9546,0.0867,0.5517,171,208,11.12,0.2203,0.1904,2.152,1.86,335,1
s47836,屋久島,30.385,130.658333,88,sunshine_normal,4.155,1.0946,0.0404,14.747,4.453,2.556,5.858,4.013,125.0,2.007,64.0,0.1667,0.7798,0.08,0.3899,14,205,5.317,0.1834,0.2113,2.872,3.308,12,1
s47837,種子島,30.72,130.981667,88,sunshine_normal,4.985,0.7936,0.0374,13.667,4.693,3.718,6.372,3.96,126.0,1.7,75.0,0.1733,0.8826,0.0733,0.3789,15,205,7.662,0.2392,0.1934,3.521,2.847,15,1
s47838,牛深,32.196667,130.026667,86,sunshine_normal,5.347,0.7766,0.0451,16.467,6.96,3.645,5.83,4.513,152.0,1.52,82.0,0.2067,0.9495,0.0667,0.3198,14,211,7.287,0.3432,0.2892,5.103,4.3,13,1
s47843,福江,32.693333,128.826667,84,sunshine_normal,4.797,0.7788,0.046,16.773,7.827,2.966,5.007,4.04,62.0,1.807,94.0,0.1933,0.9031,0.0667,0.4039,14,213,5.876,0.4113,0.3287,5.485,4.383,13,1
s47887,松山,33.843333,132.776667,73,sunshine_normal,5.519,0.5603,0.0379,13.827,6.867,4.331,5.964,3.233,76.0,1.56,81.0,0.1533,0.9291,0.0667,0.4483,349,213,8.349,0.298,0.3156,3.897,4.126,349,1
s47890,多度津,34.275,133.751667,72,sunshine_normal,5.798,0.5549,0.037,13.507,6.213,4.701,6.447,3.193,159.0,2.007,28.0,0.1533,0.8757,0.08,0.5503,349,212,8.967,0.247,0.277,3.442,3.86,349,1
s47891,高松,34.318333,134.053333,72,sunshine_normal,5.61,0.4939,0.0356,12.987,6.613,4.662,6.093,2.933,70.0,1.767,27.0,0.1467,0.9205,0.0733,0.5544,19,212,8.867,0.2536,0.2805,3.177,3.514,349,1
s47892,宇和島,33.226667,132.551667,73,sunshine_normal,5.302,0.7124,0.0396,14.453,6.093,3.748,6.004,3.267,78.0,1.453,83.0,0.1467,0.7815,0.0667,0.3477,350,212,7.348,0.3062,0.3063,4.383,4.384,351,1
s47893,高知,33.566667,133.548333,74,sunshine_normal,5.916,0.3872,0.0294,10.733,4.707,6.172,5.466,2.887,11.0,2.373,290.0,0.1467,0.958,0.0933,0.7876,177,215,11.935,0.3028,0.2969,2.562,2.513,335,1
s47895,徳島,34.066667,134.573333,71,sunshine_normal,5.774,0.4508,0.0347,12.667,5.773,5.233,6.151,3.233,12.0,2.327,24.0,0.1467,0.9381,0.1,0.675,176,214,9.999,0.2137,0.2554,2.625,3.136,348,1
s47897,宿毛,32.905,132.716667,74,sunshine_normal,5.784,0.4587,0.0329,12.027,5.293,5.158,5.972,3.247,12.0,2.173,102.0,0.1533,0.9644,0.0867,0.6455,173,210,10.152,0.2688,0.291,3.12,3.378,349,1
s47898,清水,32.721667,133.01,74,sunshine_normal,6.007,0.5319,0.0344,12.573,4.68,5.904,6.083,3.607,13.0,2.227,282.0,0.1667,0.9139,0.0933,0.5642,173,216,11.654,0.2206,0.2514,2.591,2.953,337,1
s47899,室戸岬,33.251667,134.176667,74,sunshine_normal,5.981,0.5208,0.036,13.147,5.253,5.917,5.702,3.833,11.0,2.6,284.0,0.1933,0.9713,0.1,0.6588,177,213,11.528,0.2317,0.2783,2.45,2.943,338,1
s47909,名瀬,28.385,129.493333,88,sunshine_normal,3.649,1.2124,0.0311,11.36,2.04,1.954,5.709,3.08,98.0,1.487,73.0,0.1733,0.6609,0.0733,0.319,27,199,4.215,0.2485,0.1895,3.632,2.769,7,1
s47912,与那国島,24.466667,123.01,91,sunshine_normal,4.321,1.5337,0.0377,13.747,0.093,1.794,7.775,3.32,76.0,2.06,67.0,0.22,0.4863,0.0867,0.3018,15,199,4.158,0.2776,0.1384,5.815,2.901,15,1
s47917,西表島,24.426667,123.765,91,sunshine_normal,4.72,1.2893,0.0357,13.013,0.253,2.402,7.878,2.893,77.0,2.02,79.0,0.2133,0.4535,0.0867,0.3166,15,182,5.582,0.2915,0.1515,5.791,3.009,349,1
s47918,石垣島,24.336667,124.163333,91,sunshine_normal,5.056,1.1623,0.0348,12.693,0.147,2.821,8.129,3.18,73.0,1.567,77.0,0.2133,0.5069,0.0867,0.2497,23,182,6.552,0.2378,0.1674,4.626,3.256,14,1
s47927,宮古島,24.793333,125.278333,91,sunshine_normal,4.777,1.0865,0.0308,11.24,0.107,2.858,7.436,3.007,82.0,1.333,92.0,0.1933,0.5401,0.0667,0.2395,18,182,6.583,0.2494,0.172,4.342,2.996,15,1
s47929,久米島,26.336667,126.803333,91,sunshine_normal,4.708,1.1912,0.0355,12.947,1.147,2.569,7.405,3.62,90.0,1.773,60.0,0.2,0.6136,0.0733,0.3006,13,198,5.754,0.2969,0.1542,5.474,2.844,12,1
s47936,那覇,26.206667,127.686667,91,sunshine_normal,4.732,0.9178,0.0282,10.293,1.28,3.111,6.803,2.987,88.0,1.367,65.0,0.1733,0.6627,0.0667,0.3033,15,194,6.981,0.298,0.1677,4.505,2.534,14,1
s47940,名護,26.593333,127.965,91,sunshine_normal,4.762,0.95,0.03,10.947,1.36,3.138,6.922,3.267,69.0,1.307,70.0,0.18,0.6815,0.08,0.2726,23,198,6.986,0.2824,0.1559,4.402,2.43,15,1
s47942,沖永良部,27.431667,128.705,88,sunshine_normal,5.084,1.179,0.0386,14.08,1.52,2.775,7.933,4.12,91.0,1.707,65.0,0.22,0.6561,0.0733,0.2718,13,197,6.097,0.3062,0.1652,6.085,3.282,9,1
s47945,南大東（南大東島）,25.828333,131.228333,91,sunshine_normal,5.82,0.8932,0.0399,14.547,2.84,3.947,8.586,4.24,87.0,1.8,93.0,0.2267,0.7244,0.0867,0.3075,347,182,8.934,0.3246,0.1961,5.989,3.619,347,1
s47971,父島,27.091667,142.19,44,sunshine_normal,5.564,0.7115,0.031,11.32,2.16,4.346,7.708,3.713,104.0,1.227,91.0,0.18,0.8108,0.0733,0.2678,350,182,9.64,0.3138,0.1855,4.822,2.849,350,1
s47991,南鳥島,24.288333,153.983333,44,sunshine_normal,7.74,0.6112,0.0325,11.853,1.653,5.71,9.133,1.567,88.0,1.987,137.0,0.0733,0.3072,0.08,0.3895,0,169,13.284,0.2747,0.233,5.009,4.249,364,0
