stid,name,latitude,longitude,prid,value_type,mean_val,amplitude,ramp,total_variation,excess_tv,winter_floor,summer_ceiling,spring_30d_gain,spring_rise_days,autumn_30d_drop,autumn_fall_days,spring_ramp,spring_30d_gain_rel,autumn_ramp,autumn_30d_drop_rel,trough_day,peak_day,winter_floor_eff,autumn_rate,spring_rate,autumn_rate_abs,spring_rate_abs,eff_trough_day,livable
s47520,新庄,38.756667,140.311667,35,sunshine_normal,3.641,1.2874,0.0394,14.373,3.867,1.326,4.719,1.707,52.0,2.307,148.0,0.08,0.3249,0.1133,0.4391,4,150,2.276,0.2525,0.3172,3.729,4.684,4,1
s47570,若松,37.488333,139.91,36,sunshine_normal,4.472,1.0032,0.0395,14.413,5.013,2.596,5.407,1.287,64.0,2.393,149.0,0.0667,0.2738,0.1267,0.5092,344,148,4.601,0.2211,0.2973,3.39,4.558,347,1
s47574,深浦,40.645,139.931667,31,sunshine_normal,3.929,1.4011,0.0391,14.28,2.013,0.978,5.377,2.52,43.0,2.28,141.0,0.0933,0.4109,0.1,0.3717,5,150,1.585,0.3208,0.3134,5.326,5.203,5,1
s47575,青森,40.821667,140.768333,31,sunshine_normal,4.351,1.1486,0.0347,12.667,1.853,1.693,5.497,1.96,44.0,2.213,141.0,0.0867,0.3625,0.0933,0.4094,4,149,2.732,0.3407,0.328,5.356,5.156,3,1
s47576,むつ,41.283333,141.21,31,sunshine_normal,4.332,0.9832,0.0338,12.32,3.373,2.338,4.579,1.68,42.0,2.053,155.0,0.0733,0.3756,0.1,0.459,7,119,3.699,0.3524,0.3453,5.113,5.01,6,1
s47581,八戸,40.526667,141.521667,31,sunshine_normal,5.056,0.5003,0.0245,8.947,3.573,4.163,5.11,0.88,51.0,1.427,154.0,0.0533,0.3275,0.1067,0.531,11,146,6.706,0.3071,0.3359,3.649,3.991,346,1
s47582,秋田,39.716667,140.098333,32,sunshine_normal,4.183,1.194,0.0399,14.573,3.36,1.425,5.352,1.933,47.0,2.127,149.0,0.1,0.3448,0.0933,0.3793,6,151,2.372,0.3379,0.3498,5.308,5.494,6,1
s47584,盛岡,39.698333,141.165,33,sunshine_normal,4.618,0.5884,0.0267,9.747,3.307,3.741,4.581,0.927,75.0,1.88,154.0,0.06,0.2878,0.1067,0.5839,346,147,6.197,0.2772,0.3155,3.331,3.791,346,1
s47585,宮古,39.646667,141.965,33,sunshine_normal,5.153,0.3607,0.0216,7.88,3.387,5.083,4.623,0.973,233.0,1.673,14.0,0.0933,0.4332,0.1133,0.7448,193,113,8.404,0.211,0.3498,2.086,3.457,348,1
s47587,酒田,38.908333,139.843333,35,sunshine_normal,4.212,1.2929,0.044,16.053,4.307,1.322,5.636,2.027,50.0,2.2,149.0,0.0933,0.3451,0.0933,0.3746,5,150,2.25,0.2969,0.3275,4.922,5.43,5,1
s47588,山形,38.255,140.345,35,sunshine_normal,4.435,0.8975,0.036,13.133,4.28,2.681,5.004,1.273,57.0,2.333,155.0,0.06,0.2877,0.1267,0.5271,0,147,4.643,0.2504,0.2965,3.579,4.239,346,1
s47590,仙台,38.261667,140.896667,34,sunshine_normal,5.037,0.4754,0.027,9.867,4.587,4.864,4.343,1.193,234.0,2.36,12.0,0.0933,0.452,0.1333,0.8939,189,117,8.388,0.2559,0.3017,2.762,3.256,344,1
s47592,石巻,38.426667,141.298333,34,sunshine_normal,5.341,0.3897,0.0252,9.213,4.573,5.313,4.812,1.307,233.0,2.167,11.0,0.0933,0.5632,0.12,0.9339,188,146,9.116,0.2265,0.2903,2.413,3.092,343,1
s47595,福島,37.758333,140.47,36,sunshine_normal,4.804,0.542,0.0283,10.333,4.88,4.321,4.321,1.433,237.0,2.567,11.0,0.1,0.5257,0.14,0.9413,189,119,7.57,0.2239,0.3089,2.631,3.629,345,1
s47597,白河,37.131667,140.215,36,sunshine_normal,4.925,0.4892,0.0244,8.893,3.56,5.006,4.127,1.38,204.0,2.427,11.0,0.0867,0.5175,0.12,0.91,179,119,8.889,0.1964,0.3462,1.824,3.215,340,1
s47598,小名浜,36.946667,140.903333,36,sunshine_normal,5.671,0.3548,0.0301,11.0,6.52,6.217,5.121,1.893,10.0,2.233,10.0,0.1267,0.8452,0.12,0.997,176,144,11.063,0.2148,0.3203,1.895,2.826,336,1
s47600,輪島,37.39,136.895,56,sunshine_normal,4.331,1.2736,0.0483,17.613,6.0,1.546,5.442,2.04,44.0,2.767,160.0,0.08,0.3513,0.1267,0.4765,6,145,2.749,0.2796,0.3518,4.808,6.049,6,1
s47602,相川,38.028333,138.24,54,sunshine_normal,4.456,1.2126,0.0464,16.933,5.44,1.633,5.674,2.08,49.0,2.553,155.0,0.0933,0.3619,0.1133,0.4443,5,148,2.846,0.3071,0.3552,5.203,6.019,4,1
s47604,新潟,37.893333,139.018333,54,sunshine_normal,4.507,1.1239,0.0452,16.48,5.48,1.993,5.68,1.92,52.0,2.653,151.0,0.08,0.3491,0.12,0.4824,7,148,3.471,0.2831,0.3542,4.646,5.813,7,1
s47605,金沢,36.588333,136.633333,56,sunshine_normal,4.697,1.0402,0.0454,16.56,5.653,2.184,5.715,3.107,56.0,1.927,82.0,0.16,0.5697,0.0867,0.3533,5,215,3.946,0.281,0.3512,4.594,5.742,5,1
s47606,伏木,36.791667,137.055,55,sunshine_normal,4.536,1.0667,0.0433,15.8,5.6,2.161,5.49,2.76,55.0,1.82,83.0,0.14,0.5412,0.08,0.3569,7,215,3.888,0.2644,0.3162,4.265,5.1,4,1
