stid,name,lat,n_days,winter_mean_h,interannual_cv_pct,dark2_pct,spell_cvar80_t1,spell_cvar80_t2,spell_cvar80_t3,spell_cvar80_1991_2005,spell_cvar80_2006_2020
s47897,宿毛,32.905,10951,5.400,6.50,25.54,4.83,5.83,6.50,6.00,5.67
s47898,清水,32.721667,10935,5.853,6.08,23.75,4.67,5.83,7.17,6.67,5.00
s47899,室戸岬,33.251667,10936,5.923,7.07,22.43,4.17,5.33,6.50,5.67,4.67
s47909,名瀬,28.385,10957,2.406,12.58,56.96,12.33,19.17,24.17,16.67,21.67
s47912,与那国島,24.466667,10933,2.292,16.20,62.05,16.00,24.83,27.33,23.00,25.67
s47917,西表島,24.426667,10951,2.795,14.60,54.78,14.50,19.33,22.17,18.00,20.67
s47918,石垣島,24.336667,10957,3.297,13.72,48.90,12.17,14.17,18.33,14.00,14.33
s47927,宮古島,24.793333,10949,3.288,11.55,46.06,11.17,16.17,18.00,12.67,19.00
s47929,久米島,26.336667,10951,3.049,12.85,49.69,9.50,14.33,18.50,11.33,17.00
s47936,那覇,26.206667,10956,3.508,10.15,43.68,8.33,11.33,14.67,10.00,12.33
s47940,名護,26.593333,10952,3.512,10.65,42.99,9.00,11.83,14.67,11.33,12.33
s47942,沖永良部,27.431667,10938,3.325,11.15,44.82,9.00,10.83,17.00,10.33,11.33
s47945,南大東（南大東島）,25.828333,10951,4.318,9.31,31.53,6.83,9.67,11.00,9.67,9.67
s47971,父島,27.091667,10952,4.587,8.45,25.63,5.67,8.33,9.00,9.33,7.33
s47991,南鳥島,24.288333,10924,6.384,6.55,12.80,5.17,5.33,5.83,5.67,5.00
